latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,datetime
36.6089,126.3045,304.7,1.2,1.1,Terra,MODIS,0,6.03,282.8,8.8,D,0,2020-04-02 02:41:00
35.2429,128.148,314.1,1.5,1.2,Aqua,MODIS,74,6.03,297.0,17.7,D,0,2020-04-02 04:19:00
35.2398,128.1317,308.4,1.5,1.2,Aqua,MODIS,47,6.03,296.0,9.5,D,0,2020-04-02 04:19:00
36.9853,126.7125,313.2,1.0,1.0,Terra,MODIS,62,6.03,295.2,8.2,D,2,2020-04-04 02:28:00
36.1452,128.4499,310.9,1.1,1.0,Terra,MODIS,47,6.03,296.4,7.0,D,0,2020-04-04 02:29:00
35.3679,129.0569,311.4,1.2,1.1,Terra,MODIS,38,6.03,299.6,9.3,D,2,2020-04-04 02:29:00
35.2638,128.7768,315.0,1.1,1.1,Terra,MODIS,46,6.03,299.9,10.2,D,0,2020-04-04 02:29:00
35.1846,128.9849,309.8,1.2,1.1,Terra,MODIS,23,6.03,298.8,8.7,D,2,2020-04-04 02:29:00
35.1427,128.8828,313.6,1.2,1.1,Terra,MODIS,29,6.03,300.3,9.0,D,2,2020-04-04 02:29:00
35.2253,128.191,308.5,1.1,1.0,Terra,MODIS,58,6.03,295.6,7.2,D,0,2020-04-04 02:29:00
35.2276,128.1184,310.6,1.1,1.0,Terra,MODIS,49,6.03,297.9,6.5,D,2,2020-04-04 02:29:00
35.0927,128.8636,313.7,1.2,1.1,Terra,MODIS,46,6.03,300.8,10.3,D,2,2020-04-04 02:29:00
35.1858,128.255,309.2,1.1,1.0,Terra,MODIS,49,6.03,297.4,5.5,D,0,2020-04-04 02:29:00
35.0086,127.5814,306.4,1.1,1.0,Terra,MODIS,41,6.03,293.4,5.2,D,0,2020-04-04 02:29:00
34.6421,127.7897,303.9,1.1,1.0,Terra,MODIS,0,6.03,293.1,4.3,D,0,2020-04-04 02:29:00
35.1674,127.9279,311.2,1.1,1.0,Aqua,MODIS,56,6.03,297.0,7.7,D,0,2020-04-05 04:49:00
36.8342,127.3187,305.1,1.1,1.0,Aqua,MODIS,47,6.03,293.0,4.0,D,0,2020-04-05 04:50:00
36.983,126.7145,311.5,1.1,1.1,Terra,MODIS,50,6.03,295.6,6.7,D,2,2020-04-06 02:16:00
35.8541,128.3586,308.5,1.0,1.0,Terra,MODIS,14,6.03,295.5,5.3,D,0,2020-04-06 02:16:00
35.8462,128.3504,308.0,1.0,1.0,Terra,MODIS,58,6.03,295.5,5.7,D,0,2020-04-06 02:16:00
35.2255,128.2421,309.9,1.0,1.0,Terra,MODIS,60,6.03,296.3,6.5,D,0,2020-04-06 02:17:00
35.2298,128.1464,312.0,1.0,1.0,Terra,MODIS,50,6.03,297.2,7.5,D,0,2020-04-06 02:17:00
35.1285,126.7579,314.7,1.1,1.0,Aqua,MODIS,31,6.03,300.8,8.0,D,0,2020-04-07 04:37:00
35.1983,126.8562,313.8,1.1,1.0,Aqua,MODIS,70,6.03,298.7,6.6,D,2,2020-04-07 04:37:00
35.1981,126.7961,321.8,1.1,1.0,Aqua,MODIS,49,6.03,301.7,13.1,D,2,2020-04-07 04:37:00
36.9785,126.6881,314.3,1.0,1.0,Aqua,MODIS,22,6.03,298.1,6.8,D,2,2020-04-07 04:37:00
37.6097,128.381,303.9,1.0,1.0,Aqua,MODIS,20,6.03,288.6,2.9,D,0,2020-04-07 04:37:00
38.0476,126.9647,307.2,1.0,1.0,Aqua,MODIS,55,6.03,292.5,3.4,D,0,2020-04-07 04:38:00
35.5503,127.6936,318.0,3.0,1.6,Aqua,MODIS,77,6.03,291.7,68.5,D,0,2020-04-08 05:20:00
35.5481,127.66,303.0,3.0,1.6,Aqua,MODIS,33,6.03,289.1,16.5,D,0,2020-04-08 05:20:00
35.5493,127.6887,320.5,3.0,1.6,Aqua,MODIS,80,6.03,291.7,76.6,D,0,2020-04-08 05:20:00
36.9637,127.1101,309.5,2.8,1.6,Aqua,MODIS,67,6.03,292.6,25.1,D,0,2020-04-08 05:20:00
36.9647,127.105,308.2,2.8,1.6,Aqua,MODIS,65,6.03,292.6,20.8,D,0,2020-04-08 05:20:00
35.0917,128.8586,317.3,1.2,1.1,Aqua,MODIS,0,6.03,303.5,14.1,D,2,2020-04-09 04:25:00
34.9312,126.7114,309.0,1.5,1.2,Aqua,MODIS,65,6.03,295.0,9.3,D,0,2020-04-09 04:25:00
35.6719,129.3114,314.9,1.1,1.1,Aqua,MODIS,63,6.03,298.8,10.6,D,0,2020-04-09 04:25:00
36.5284,128.4538,311.3,1.2,1.1,Aqua,MODIS,28,6.03,298.0,9.0,D,0,2020-04-09 04:25:00
36.6456,127.3563,309.4,1.3,1.1,Aqua,MODIS,49,6.03,295.4,6.7,D,0,2020-04-09 04:25:00
38.1102,128.0372,303.1,1.2,1.1,Aqua,MODIS,26,6.03,291.6,5.1,D,2,2020-04-09 04:25:00
